Z_eff_max,Z_eff_ave
2.852464,2.1069007
2.8365815,2.1743488
2.8352172,2.3042994
2.6199741,2.0292675
2.6608012,1.9513203
2.6187074,2.260086
2.1573331,1.642269
2.5035343,1.7432905
2.3610783,1.7053442
2.0451806,1.6296644
2.6614833,2.145382
2.0528784,1.6397601
2.0664225,1.7757103
2.3107998,1.8504945
2.7839642,2.123776
2.44663,1.8371269
2.054145,1.6623547
2.3830996,1.8354139
1.9974355,1.634702
2.0391395,1.7350698
2.8878343,2.0729713
2.9472723,2.4937706
2.4357166,1.8806589
2.6191947,2.1361947
2.725111,1.9467852
2.2203763,1.7042298
2.8450587,2.3571692
2.4682615,1.8653274
2.341883,1.8705859
2.5070422,1.9445076
2.9248612,2.3821523
2.5377355,1.8403449
2.701823,2.052886
2.0637915,1.6255832
2.8016982,1.9206047
2.5275044,2.0843124
2.5371509,2.1159425
2.377448,1.7104163
2.1074443,1.560988
2.1661026,1.7991321
2.3473394,1.7365166
2.8434021,2.1299956
2.4982727,1.8976645
2.7238443,1.9597671
2.385146,2.0447834
2.77461,2.0881138
2.9219382,1.9645975
2.9197946,2.077345
2.6912022,2.3277693
2.9406464,2.3254733
2.0174105,1.5960302
2.0788946,1.6883037
2.755025,2.1434064
2.7997494,1.993046
2.253603,1.745111
2.117383,1.7420857
2.4564712,1.9708955
2.8379455,2.0643377
2.3099227,1.8212786
2.032611,1.6237087
2.2362587,1.6374943
2.3493857,1.7710874
1.9955841,1.5246098
2.3113844,1.6949966
2.1627896,1.5302979
2.202545,1.6507692
2.098772,1.618882
2.6617756,2.1144123
2.0330007,1.6094818
2.522925,1.8510962
2.4636817,1.8975562
2.357278,2.0340645
2.1017928,1.8477366
2.4826825,2.1520572
2.3156717,1.6910179
2.3197641,1.9089856
2.903035,2.133704
2.6435544,1.9769955
2.5479667,2.0709376
2.826058,2.4342215
2.6774633,1.9366615
2.8174834,2.1349144
2.1296604,1.698036
2.9539957,2.132372
2.61062,2.0930977
2.5750546,1.9338465
2.33818,1.9412723
2.5785625,1.856766
2.2162838,1.7278006
2.2049809,1.5825803
2.2038116,1.6528271
2.4028797,1.9194415
2.257793,1.9708112
2.5676494,2.1210904
2.5166886,2.1303463
2.5563464,1.906863
2.5086012,2.0936615
2.4758618,1.8956463
2.027057,1.6567733
2.5340328,2.0546353
2.3787148,1.8419812
2.128686,1.8087595
2.0281289,1.6088947
2.3226874,1.8638679
2.215894,1.6852748
2.4147673,2.0549865
2.8560693,2.1903057
2.3499703,1.826945
2.7847438,1.9978064
2.8360941,2.4105673
2.8382378,2.3684409
2.0081537,1.6581509
2.412916,1.8282284
