LOS_0_0,LOS_0_1,LOS_0_2,LOS_0_3,LOS_0_4,LOS_0_5,LOS_0_6,LOS_0_7,LOS_0_8,LOS_0_9,LOS_1_0,LOS_1_1,LOS_1_2,LOS_1_3,LOS_1_4,LOS_1_5,LOS_1_6,LOS_1_7,LOS_1_8,LOS_1_9,LOS_2_0,LOS_2_1,LOS_2_2,LOS_2_3,LOS_2_4,LOS_2_5,LOS_2_6,LOS_2_7,LOS_2_8,LOS_2_9,LOS_3_0,LOS_3_1,LOS_3_2,LOS_3_3,LOS_3_4,LOS_3_5,LOS_3_6,LOS_3_7,LOS_3_8,LOS_3_9,LOS_4_0,LOS_4_1,LOS_4_2,LOS_4_3,LOS_4_4,LOS_4_5,LOS_4_6,LOS_4_7,LOS_4_8,LOS_4_9,LOS_5_0,LOS_5_1,LOS_5_2,LOS_5_3,LOS_5_4,LOS_5_5,LOS_5_6,LOS_5_7,LOS_5_8,LOS_5_9,LOS_6_0,LOS_6_1,LOS_6_2,LOS_6_3,LOS_6_4,LOS_6_5,LOS_6_6,LOS_6_7,LOS_6_8,LOS_6_9,LOS_7_0,LOS_7_1,LOS_7_2,LOS_7_3,LOS_7_4,LOS_7_5,LOS_7_6,LOS_7_7,LOS_7_8,LOS_7_9,LOS_8_0,LOS_8_1,LOS_8_2,LOS_8_3,LOS_8_4,LOS_8_5,LOS_8_6,LOS_8_7,LOS_8_8,LOS_8_9,LOS_9_0,LOS_9_1,LOS_9_2,LOS_9_3,LOS_9_4,LOS_9_5,LOS_9_6,LOS_9_7,LOS_9_8,LOS_9_9,LOS_10_0,LOS_10_1,LOS_10_2,LOS_10_3,LOS_10_4,LOS_10_5,LOS_10_6,LOS_10_7,LOS_10_8,LOS_10_9,LOS_11_0,LOS_11_1,LOS_11_2,LOS_11_3,LOS_11_4,LOS_11_5,LOS_11_6,LOS_11_7,LOS_11_8,LOS_11_9
76998.26854565996,79366.49830035624,80930.58618700977,82114.93719678697,82567.61555649948,81641.74207086457,79601.45729693098,77246.57838647753,74909.06590635628,72474.75618432871,0.01421893398384576,0.014666128209501774,0.014936939892922864,0.015095348579741196,0.015124001081843202,0.014965843403421953,0.014641743675534316,0.014262126584419457,0.013846503895214112,0.013397743592692217,62827.037451743854,69071.48513792812,74760.80886479345,79993.68926724038,85105.92375478346,90242.41081622051,93503.09713489181,92764.94951212025,88953.84126067368,81660.10875901525,0.011536319545847416,0.012737395938909856,0.01381220144342652,0.01479321565609149,0.01570142138841747,0.01656379686669282,0.01711957911012777,0.017066984215247615,0.01643176507893734,0.015070122683711648,57562.148729731496,70994.13993304786,84276.06286892098,95919.05560276409,104404.54491526436,109216.17479160918,109087.90147340171,98732.09411292407,84405.07058861337,64156.52149116717,0.010387419056817565,0.012951889554684006,0.015475818923197522,0.017698340979090642,0.01929859080151087,0.02013168824996238,0.019990473019814586,0.018251880570434233,0.015626905963225565,0.011782107136866704,71572.68434084761,82641.29745471789,89902.15475957043,93901.13048081579,95807.03082362497,96670.93314226894,93329.91678697556,86620.3536596122,79618.62032124262,71435.92779378101,0.012949531388256214,0.015123705828000027,0.01657033084364682,0.017348612916520907,0.017682625391808964,0.017714222806946227,0.01711555567311219,0.01598614075484151,0.01470639340651766,0.013154477103860047,76612.80133628486,81577.26864691348,86523.5030055881,90321.46528578688,91094.5387243822,89991.1823686724,88442.67531037571,85596.73803217785,80810.33198006277,73602.50596534365,0.014156626638711308,0.015070021436695532,0.015905246693782207,0.016534000166852723,0.01673062022952358,0.016613684018249805,0.016345968910330366,0.015790823202573058,0.014832449601008421,0.013423275188998255,75334.08438817743,88435.00180454193,99671.45385498968,109006.18808950753,110919.7217775382,110264.25023666462,106852.2120658334,98665.62545515256,85148.24796044448,67829.35012901716,0.01387735106806682,0.016361098369458257,0.018378596339230054,0.019969224600666313,0.02046392441311012,0.020403983777887644,0.019722803227332115,0.01808736418214112,0.015439392505124383,0.01205300432831689
41067.89370009238,43045.70085537423,44494.32973239592,45345.915925215704,45531.22835831229,45038.4509888332,43963.03852625745,42478.143725794704,40733.32055911834,38856.2712660074,0.010377511070135681,0.010742299230430187,0.010973447106796291,0.011074733871522479,0.011061879048205474,0.01095071598119769,0.01074298550742174,0.010474873003078925,0.010143497595710968,0.009780979874912615,32971.26594904626,36401.82543923828,39825.97693354409,43324.486285555,46795.75289540471,49819.27388513949,51556.10521977438,51199.08804409509,48383.54123435805,43321.04672016186,0.008444582661504323,0.00928733076686577,0.010070969056734666,0.010828541544696714,0.01153222462280547,0.01214376404783389,0.012527658740859378,0.012540268439575118,0.012051521131525895,0.010991061584045444,30427.965172230564,37315.806450717035,44241.32519134906,50755.655489103585,56447.15351456822,60307.099171333626,60237.7250063133,54429.53398408769,44941.77779956663,33644.68863947412,0.007775886819115534,0.009574242575914415,0.011331466857447238,0.012906170333384702,0.014123216304502093,0.014786835343988478,0.014608503190245467,0.013393345089479503,0.011370583234523984,0.00864175759114722,37789.14947303644,43377.484927093974,47369.501154049154,50398.633662236134,52648.00733227802,53338.19209223404,51507.07481722912,47489.20442424768,42629.47077841238,37620.19534287498,0.009672015780488012,0.011123343801277281,0.012089320337229285,0.012673330267210197,0.01299332422698049,0.012974155704360796,0.012544843612318229,0.011742520954157827,0.01074215987690638,0.009604492177363344,41151.34981347368,44655.86883872858,47768.84491840789,49800.39121146847,50296.394151428285,49329.90281619554,47524.985354326695,45227.09278129636,42415.773890612756,38700.1319911005,0.010343342363094225,0.011064600747826107,0.011673501278434055,0.01209447899837334,0.012273056234334495,0.012199141568708076,0.01194433940090326,0.011513632719243405,0.01086203207141433,0.009932340599124125,39617.80940086643,47556.46878622467,55020.45532595375,60176.36174333103,61246.05089650639,59454.54693174954,56346.46445429915,51766.68512166503,44910.98232648652,36095.373597730126,0.010123822526850497,0.011948340381201088,0.013494960573666144,0.014594963467509488,0.015025489614901489,0.014902843416486851,0.014366018504673972,0.013280753797584059,0.011506316054667676,0.009146311706940764
72748.73819534016,74829.18617690468,75821.08848464164,76431.08651579003,76663.37659461593,75807.78194807282,74117.37443612641,72358.49624289156,70577.31194864835,68445.90175161154,0.0137629313183176,0.014171885405486882,0.01437156008902479,0.014459344226649034,0.014460523602660745,0.014310220443507667,0.014028092747974683,0.013720554158944487,0.013372792348709627,0.012962289561056368,59411.06400124023,65295.596230864496,70638.09823600318,75443.2463777505,79724.43679102286,83914.62635665081,86808.26000492551,86483.5036315759,83806.15267150862,77176.13047148567,0.011182278158093487,0.012337985820527109,0.013369203918590063,0.014297487233512601,0.015105654872534024,0.015855126359403105,0.016368188903912166,0.016367307393686536,0.01587053206803337,0.014591758714399565,54485.135784538455,67164.48808376136,79693.07612035808,90662.09292913252,98501.1012896442,101919.27391691822,101175.43398857095,92387.17764839895,79746.07633991903,60676.8663148691,0.010091221095048454,0.012567661901989284,0.0150009621172433,0.01713925989328307,0.018657049050189122,0.01931763307807087,0.019097724973473288,0.01754423228009402,0.015122868926185438,0.011423783079598961,67740.35245616939,78165.59353068606,84989.85957652469,88673.89166332809,89799.27329912085,89799.6565382407,86745.88959669997,81311.63488696577,75203.55599651445,67535.77081450146,0.012577663256308505,0.014667442708820436,0.016051954743480652,0.016784031126719712,0.017018859574485054,0.01694377797885589,0.016378160828850134,0.015401739431815616,0.014231091916603726,0.012744400589205122,72342.21618100535,76650.12745871877,80567.15767464125,83848.64690284558,84756.52604940496,84486.96955962646,83509.48312580523,80910.14522222501,76417.17718612915,69634.77722060047,0.0136950208771612,0.014528217352321744,0.0152396915685403,0.01580706951122304,0.016021576024013932,0.01600731351302629,0.015812501872152183,0.015293256932367867,0.014377756014729945,0.013026279480662276,71221.85517877412,83493.82704401031,93066.11070798962,101110.94945472448,103568.35620422065,104068.81873308521,101004.32220230368,93315.94325327694,80582.38126897998,64234.74558982038,0.013444609496458933,0.015824907198226205,0.017641683978822462,0.019079126951730262,0.019643152280667237,0.019729295066399158,0.019101484212226887,0.017538755474922816,0.01499299401574395,0.011723725610699369
68368.12918991684,72110.92664421338,74530.90225325347,75746.3957338271,75895.00980783433,75091.1574954041,73475.9952546431,71182.30768566066,68300.30941278719,64920.44029225984,0.013342778867150733,0.013941845922868188,0.01430692064632902,0.014463890362353427,0.014453314177647432,0.014307849974197333,0.014034522138457177,0.013663880361014166,0.013187048486428354,0.012631591151807073,53348.316499720364,59855.337024091925,66306.52700872919,72595.9565477099,78394.34361726098,83133.49537539338,85872.44603356232,85535.94183150775,81042.91763911754,71828.8065399831,0.01057355458436124,0.011793704728064614,0.01295006363318736,0.014051603370661851,0.015040527043631922,0.015857291841492968,0.0163547503615764,0.01635639081448712,0.015647382989815366,0.014068249889435946,47345.1062868819,59145.92754562721,71648.60719791126,83930.74362781225,94552.92921119399,100985.51783715104,100520.52976194727,91428.70283684295,75033.59329513797,54010.88980537084,0.009409536654998288,0.011776615959361825,0.014194995385290149,0.016474435104260093,0.01831116708313358,0.019320448692850826,0.019124116197451316,0.01752707749217195,0.01466152639139485,0.010752159984714288,58978.18887127083,69443.70038289989,77807.58418943376,84211.01393961333,88186.92845464713,88905.3032221317,85887.44226008732,79549.28690640544,71115.50355754813,61664.84794897257,0.011735456781677481,0.01379874162913364,0.015334572872589238,0.01636961057633671,0.016933611887759933,0.016939296724442554,0.016375307781663642,0.015290552133989844,0.013846560643037657,0.01215874484902961,68769.55216372639,74836.16443306334,79783.22671514828,82959.89549522607,83964.02453400644,82667.31140542585,79444.01860960688,74650.41239123835,68621.5250510395,61251.50107217014,0.01336449470937966,0.014404347008699612,0.015238721318591003,0.01579500154884062,0.016024022366465378,0.015891655605006716,0.015437381342323931,0.014671871518999426,0.013596660434718168,0.012200833084946112,64854.53706631561,79622.56125885501,92199.32266300947,100383.9661099204,102675.23962640068,99697.24467730222,92900.26229208647,83098.24632957563,70279.20168534487,55402.54969530568,0.012804973048474865,0.015468204149682259,0.017641244656337977,0.01909851745669332,0.019649377300243177,0.019334287652825327,0.018289484751867334,0.016515844741769776,0.01399620710655641,0.010917321031387024
58660.52904563698,63214.13059738365,66813.8999019213,69110.90016699504,69877.75391551037,69096.68406125077,66977.43793506034,63841.46596431315,60096.17994813627,56071.46135025959,0.01230564685432277,0.012990598949972437,0.01348933615826335,0.013770853763089438,0.013831532394605045,0.013687636879853535,0.013354254978211204,0.012885083209134871,0.012308848865114453,0.011682576467820303,44832.595943792905,50599.330500351,56815.549627187924,63517.741452925344,70301.60952720321,76085.42915620047,79073.35588800967,77664.91710142589,71319.43328793846,61219.98579972112,0.009687143331681821,0.010812447232359816,0.011933791843789742,0.013079069921063896,0.01418272611824046,0.015124893441598126,0.01565495116516823,0.015533829858083424,0.014611146333478632,0.012937749680059077,39967.79782421402,49717.370674966536,60227.94230774995,71306.28823730253,82532.06388910589,91512.95860589256,92913.2404963629,82332.29277128709,64280.43549440263,45339.1823056281,0.008697731342104113,0.010826787782358061,0.013006711603517861,0.015131536155644398,0.017024311024164157,0.018322260509814677,0.018336988808468534,0.01655655530847029,0.013501735722184213,0.009855485596746523,49743.34497001881,58323.46230217571,65747.95922385798,72826.435600254,78961.77048253201,81671.66771828865,78732.03591200804,70916.43496129106,61309.3453430094,52065.74361810362,0.010836957655250517,0.012660078475941854,0.014058968252026613,0.015150623792379555,0.015956666568086097,0.016192157876177365,0.01563458620540703,0.014374756398359638,0.012798308695959416,0.011146730250256408,59530.158387608266,66525.95549416383,72696.01363016944,76414.8998526826,76694.98081563425,73674.85700561033,68804.02258477345,63307.76824637787,57673.31333234201,51498.41527186419,0.012375055400833328,0.013520325884900245,0.014498668603146145,0.015120588085129553,0.015267157074634798,0.014936026100060505,0.014297823701981844,0.013466446878232724,0.012458616634923559,0.011221142512171352,54677.7902181306,69030.75809222231,83439.63892809387,92748.14329726003,92937.31606282582,86737.68299060153,78610.29040850628,69777.716008773,59232.11532518602,46982.66526677237,0.011730600437911664,0.014330153025095656,0.016715304757170344,0.01830936285460956,0.018618777861217347,0.017939459087711503,0.01676845656519523,0.015143891675358359,0.012912910125955454,0.010145940420122672
43785.00824717175,45609.094887340994,46796.15192589823,47389.75448194873,47420.07691932463,46917.3956318548,45960.96497582056,44668.74060803296,43109.256008432436,41352.68449240621,0.010667060908190914,0.011016459424649584,0.011218433343641428,0.011290230855075866,0.01125958461049395,0.011147605352946168,0.010954023372271153,0.010708350966969862,0.010398026729454392,0.010048242524209184,35323.396806651304,38953.06477524621,42476.82782411748,45931.62422732311,49211.61907769246,52004.10533493425,53691.425486018925,53601.27873171514,51201.49874743764,46267.07657681565,0.008688323047889765,0.009556698855078951,0.010354044749598522,0.011107859859402219,0.011789439228120518,0.01237323199498346,0.012750412111181022,0.012793408060498395,0.01235215283300528,0.011303963059967441,32555.951852655413,39967.1269508696,47394.33331043247,54249.5766609727,59887.833200824745,63186.316056982934,62648.027781876495,57160.485123219325,47937.67263373216,36050.639260952645,0.007980810440817096,0.009840353230336668,0.01165807774032533,0.013276499937186971,0.014491441310372616,0.01509245158338163,0.014861484331035462,0.013686221378673062,0.011692873282012012,0.008889560988475443,40440.420885910025,46472.086967787196,50693.40602513711,53616.753471372,55394.438947906754,55598.478931039404,53732.624136325634,50041.66563643079,45390.76484853249,40266.44698783213,0.009929386425049333,0.011438888293509296,0.012439464863304522,0.013017345454568155,0.013285463571716932,0.013210501650450646,0.012777891741379152,0.012014210850513234,0.011036760158177084,0.009882299382424603,43766.73208098638,47101.08257438608,49946.39051626422,51857.61073492189,52540.84567776958,51987.00658141296,50538.30737558828,48361.41578669992,45440.28566373791,41447.12869408062,0.010623003522143895,0.011325464065004833,0.011902956515121708,0.012309289666211467,0.012509089275420188,0.01248242313705608,0.012266628149822743,0.011845470137522516,0.011175013084567215,0.010207305534397746,42419.23679889899,50557.40304781526,57676.38529526366,62593.427130965996,64198.87827897311,63142.80184735273,60283.5762899276,55463.93279903128,48070.59503256266,38576.48012407459,0.010418294600655267,0.012270396074421227,0.013777568257511256,0.014848337360579765,0.015340095285648702,0.015299472219205948,0.014783447671969856,0.013659971573576242,0.011815356010146032,0.00937365620282082
65319.61249661417,67319.99745817468,68256.86231816272,68451.26341551016,68142.18471574555,67441.77267663776,66423.30154823877,65139.65682631656,63512.71307893401,61499.978425021545,0.012970696982669509,0.013362611582792337,0.013550295753041921,0.013584844981154193,0.01351937868981277,0.013386591621460294,0.013184919748530356,0.012935665908514457,0.012609129358568191,0.012216885395332193,53171.04433174226,58514.01037251359,63416.14470555579,67864.3832153082,71769.88984340664,74983.86441477394,77143.17668521035,77626.8000166045,75416.15186298163,69240.84149697656,0.01053729877376584,0.011623455080085962,0.012597721263061464,0.013480017381976746,0.014241615527742887,0.014874925418512272,0.015302459792865566,0.015402232446528955,0.01496690448864722,0.013749618388231032,48715.64419783243,60059.91742191821,71329.30997512469,81306.36565780739,88590.34946778488,91619.49806887076,89826.1982242062,83185.3159303545,71598.3852001216,54276.452138114975,0.009536360929158086,0.011856069411916723,0.014136834040083436,0.01614898894878776,0.01759014711707841,0.018192600770276422,0.017838080392278854,0.01653668941124808,0.014246124987869029,0.010766008965490983,60565.99888279747,69919.93477861365,76157.32190162923,79684.53614740247,80847.7013306893,79994.15837294055,77402.39407047881,73209.05810748115,67557.98968586134,60507.45389589738,0.011882240139451418,0.01382868745424346,0.015123552656273336,0.015820379803087536,0.016048221406350264,0.0158649535124232,0.015352178302296312,0.014525016836740434,0.013413800527424035,0.012008272223769356,65013.92002072659,69012.1063175079,72197.10154954094,74498.94514357565,75841.84779797583,76070.2684873868,75054.26876633464,72541.99033168778,68392.25001991543,62267.37389802056,0.012908968272910633,0.013701501965468111,0.01432410951466133,0.014775214942819507,0.015044826785736503,0.01509556072805127,0.014905232105285491,0.014408778259743113,0.013549475732410833,0.012290325643764232,63794.657548563504,75051.72378626742,83698.10661569367,89768.55627285838,93153.98404444485,93578.04692034738,90531.8227887665,83478.57389895008,72046.74733308319,57451.87550756656,0.012665757061461464,0.01491580951855343,0.01661790004514831,0.01782143406364175,0.018503909708064432,0.01859616075629675,0.017993260694336263,0.01653215993232293,0.014159436840223543,0.011102667926577266
55089.27111228386,58080.43261936946,60852.731192418316,62988.91961930125,63863.7874545432,63126.03329481569,61002.668623467725,58112.801444934936,55054.02814376955,52178.13181808044,0.011879684897359744,0.0123782802391867,0.012777136436573753,0.013038655403762523,0.013111954072952058,0.012973349859294893,0.012639897931962933,0.012200967407563256,0.011707712740005738,0.011219000968112737,44309.03157967714,48850.46091715174,53419.47991719599,58409.00068427793,64014.06264512191,69430.68373226661,72333.79553378279,70797.20962437632,65398.342067013895,58092.02437436584,0.009618059426520829,0.010601763737908944,0.011529280581330468,0.012470216786729566,0.013431604125227332,0.014328554005884123,0.01484793820602331,0.014711904757205173,0.013904180666768923,0.012564001315818838,40783.18058511399,50136.16554949513,59445.01097179668,68070.19802994012,76022.80403277723,83173.93908585673,84738.0959667564,74622.59836332894,60285.62943659892,45239.14132125376,0.008772308903332747,0.010859505395627408,0.012904497988485164,0.014744146163906846,0.016248403326123866,0.017325908417005997,0.01735992422474887,0.015637550861697318,0.013028068844854083,0.009834552695692793,50677.27351830432,58302.72123231033,63569.78633656539,67694.31035222714,71934.98620037224,74632.89953343094,71912.05475296472,64689.81967633265,57222.037135027684,50491.74946183061,0.010922051418739002,0.012643245571713091,0.013795753114740307,0.014539037003786151,0.015116992295868135,0.015349449527853408,0.01481809248949371,0.013630735508002022,0.012310893917095184,0.010955378118355112,55287.89399882852,60712.24418690523,66275.65475026226,69891.2421461726,69953.43757409607,67180.06118804796,63856.66454276063,60665.4737267806,56996.703894580925,51989.295949850006,0.011869502441978062,0.012826099829436399,0.013730556369514105,0.014339623256743069,0.01446047097610958,0.014160337886181729,0.013708304690001649,0.01314964451735549,0.012369055984874172,0.011261013881102119,53196.33882438685,63912.87265752542,75784.28148282615,84632.72938426303,84355.70311644518,79980.09655577557,75609.98823088997,69588.23030094945,60256.100351032816,48222.37441026149,0.0115502992259493,0.013721245589121626,0.01580111410614544,0.01733912550874652,0.01759432982901335,0.01713584586987307,0.0164090591989152,0.01510636803537563,0.01300585676396672,0.010256956454847041
56962.4828639178,60189.89640210608,63089.116780867465,65236.63737773904,66074.01094150417,65317.53089977103,63188.60486225779,60250.63562852837,57068.38390237391,54002.3667835326,0.01208363795609552,0.01261188700952036,0.013027126570508375,0.01329085335021737,0.013360126364064855,0.013219486982696463,0.01288527484309504,0.012440177406069593,0.01193149798399905,0.011419252800452844,45614.171753147115,50379.79605289687,55228.290650631345,60524.95899477237,66367.66049769356,71881.73528155145,74829.13062726046,73345.20391779183,67785.33130794876,60005.11365344755,0.009753918423384574,0.010764935720449014,0.011726342835345526,0.012704535643418462,0.013694788908514135,0.014603448772882856,0.015127725116990032,0.014997061351258738,0.014168712272641135,0.012770658054058678,41901.90373999076,51547.822159820076,61201.569909553684,70271.78738333446,78763.74938226861,86208.36720003642,87672.41477648601,77392.68709791581,62338.24036466889,46542.78695221443,0.008880064353455841,0.011001377667634421,0.013087362219627597,0.014980917873586512,0.01655128716672591,0.017666457868808,0.017690522310830726,0.015949164543108636,0.013252967011323438,0.009969147794114104,52072.699561707865,59975.56764544944,65551.86694998415,70069.80891979391,74580.41378280253,77232.72922968595,74433.30843963368,67069.42876937402,59205.506160797246,52053.530200407215,0.011057555583190142,0.012814253403385104,0.014006706438371992,0.014799753640619475,0.015412444220308243,0.015640945648470163,0.015100678377212568,0.013895989231932526,0.012527798723139735,0.011120939057153096,57233.38158450344,62947.29794162478,68644.19761057069,72302.04066975943,72437.52947219776,69654.58097458162,66108.12767160403,62605.77287185278,58675.76928970283,53449.63625260448,0.012083204253433304,0.013075187233151892,0.013996056441909007,0.014610083520258456,0.014738987632100275,0.014436378162825711,0.013955741566737428,0.013357776123254556,0.0125436210486029,0.011407362621624884,54826.7931423622,66180.71409509087,78560.96067626178,87559.86113743638,87452.30168880985,82851.98819661155,78000.7325554045,71595.5003054964,61921.02994004019,49523.50240626026,0.011723088494037593,0.013971256992466458,0.016112924924709626,0.017668655435986357,0.017942333166947672,0.01745358818114556,0.01666534690960259,0.015312820888386655,0.01316877219432847,0.010376174301673851
66829.29982153945,69204.70825480648,70473.88259289066,70903.44385236484,70698.3427850757,69965.20837628822,68794.8033920487,67265.5223001187,65345.04907429265,63025.79723195303,0.013139413603949143,0.013576858089895585,0.013805006339134172,0.013868224172120703,0.013815480589849808,0.013678890974717611,0.013458959370971366,0.013180032692712465,0.012817973935557076,0.012388661011114348,54009.2864717035,59616.869092543246,64867.04027625126,69741.65477095795,74107.07290315068,77709.26875095429,80030.17019918824,80327.88190043825,77583.47161459595,70721.01562463309,0.010626414816251345,0.011743995424294306,0.012759814317625483,0.013693287364698372,0.01451018878608714,0.015190063516387508,0.015636737447127392,0.01571371687282338,0.015213668664609117,0.013913699203400878,49282.00436207591,60852.82181507916,72465.60167515697,82969.85678744764,90996.23252566133,94800.1748421836,93290.25517863611,85999.94142459365,73260.47464514282,55067.31031337059,0.00959154815394271,0.011937084913263195,0.01425775853967245,0.016332510623508434,0.017862982838094378,0.01855959341193754,0.018240129308649333,0.01686124778896008,0.014432404797077318,0.010849072945176794,61283.55628314704,70920.92701404786,77577.00670635453,81681.4001924345,83453.53286147086,82954.0822491481,80234.71216179935,75503.0471348963,69197.26831767976,61610.81267513626,0.011952796972260744,0.0139329927132203,0.015278407465608037,0.016045283973862907,0.016347399811344546,0.016207477229886046,0.015679732720494534,0.014787865152581216,0.013597839936756197,0.012128188387417646,66656.15487210601,71139.28181667783,74760.85031585042,77293.51297086649,78570.42555133787,78453.96240387432,76960.04227028241,73985.5810297584,69470.66015440025,63080.49011239921,0.013094076989902377,0.013945024516176397,0.014620183236027916,0.015098869675857484,0.015360149190910308,0.01536875092962428,0.015120147614365403,0.014567559622056872,0.013664044822921441,0.012373146366629138,64930.57206194272,76988.43905551382,86588.57896603488,93217.11879645557,96380.70204333484,96074.46881064777,92284.8894929364,84699.20806906221,72914.94230403024,58069.4495197026,0.01278896442237744,0.015134659817585336,0.016951372765810727,0.01822154845851109,0.018876302004230967,0.018879123421950587,0.018185662185392054,0.016660103083356484,0.014245504799097572,0.011159739192215386
