z_eff_0,z_eff_1,z_eff_2,z_eff_3,z_eff_4,z_eff_5,z_eff_6,z_eff_7,z_eff_8,z_eff_9,z_eff_10,z_eff_11,z_eff_12,z_eff_13,z_eff_14,z_eff_15,z_eff_16,z_eff_17,z_eff_18,z_eff_19,z_eff_20,z_eff_21,z_eff_22,z_eff_23,z_eff_24,z_eff_25,z_eff_26,z_eff_27,z_eff_28,z_eff_29,z_eff_30,z_eff_31,z_eff_32,z_eff_33,z_eff_34,z_eff_35,z_eff_36,z_eff_37,z_eff_38,z_eff_39,z_eff_40
10.244249,10.189984,10.039522,9.811388,9.524143,9.196396,8.846795,8.493507,8.149271,7.823547,7.5257163,7.26405,7.0377307,6.84133,6.669368,6.516614,6.378172,6.2491837,6.1255183,6.0040817,5.880241,5.7528853,5.6216807,5.485696,5.344738,5.1987643,5.0479274,4.889488,4.724091,4.5550838,4.3827467,4.207566,4.009555,3.8085241,3.6027246,3.3365307,3.0176048,2.7115152,2.0893042,1.3426384,1.0246365
14.078176,14.04722,13.957349,13.81307,13.618925,13.379495,13.099412,12.783555,12.438835,12.073383,11.695363,11.312665,10.930822,10.554135,10.186806,9.831757,9.4902115,9.163179,8.850837,8.552182,8.263226,7.983961,7.713847,7.451088,7.1941557,6.941479,6.691743,6.439164,6.183247,5.9277897,5.672026,5.415716,5.128796,4.8398137,4.5459213,4.166662,3.7133372,3.2808204,2.4252687,1.4246047,1.0251744
9.2189245,9.1238,8.8672905,8.492732,8.043533,7.563163,7.0951233,6.6802588,6.331596,6.045458,5.81789,5.6441264,5.512875,5.409572,5.3198147,5.234115,5.1494083,5.0630937,4.973403,4.8797503,4.780368,4.6758275,4.566998,4.4541845,4.3377843,4.218143,4.0956326,3.9682295,3.836496,3.7030084,3.567963,3.4316888,3.278793,3.1245108,2.9676445,2.765668,2.5241957,2.2938292,1.8269928,1.2682018,1.0346435
10.211521,10.171132,10.05998,9.893107,9.685585,9.452522,9.209053,8.969689,8.742264,8.53059,8.338399,8.1686735,8.018268,7.880948,7.7505093,7.6222095,7.4932113,7.3608246,7.2231402,7.0793486,6.9265895,6.765723,6.5979357,6.4234962,6.2429504,6.0568066,5.8656254,5.666061,5.4589987,5.248621,5.0352273,4.8193417,4.57612,4.330104,4.0792212,3.7552676,3.3677402,2.9974608,2.2584689,1.3866429,1.0311733
13.385751,13.382517,13.3721075,13.353467,13.325539,13.287276,13.237641,13.175635,13.10057,13.011946,12.909289,12.792161,12.660265,12.51338,12.351304,12.173981,11.9815235,11.774039,11.551786,11.315224,11.060917,10.791394,10.509083,10.214704,9.909294,9.593777,9.269144,8.9295025,8.576405,8.21717,7.852312,7.4827304,7.0653253,6.6426716,6.2110906,5.6529193,4.9849987,4.3464923,3.0865896,1.6158651,1.0275041
8.471842,8.3912,8.172725,7.851622,7.4631586,7.042655,6.6254683,6.245038,5.914592,5.6352096,5.4077525,5.232058,5.099749,4.9983153,4.91534,4.841843,4.773337,4.7056856,4.635928,4.562773,4.4839396,4.3995204,4.3101087,4.2158237,4.1169972,4.013958,3.9070792,3.7945857,3.6770504,3.55689,3.4343503,3.3098097,3.1691363,3.0263817,2.8803504,2.6914704,2.4650557,2.2478871,1.8010851,1.2592189,1.0246365
14.370244,14.314479,14.16437,13.945714,13.684344,13.406123,13.136927,12.9007635,12.702095,12.533661,12.388046,12.257818,12.135312,12.01276,11.882507,11.739578,11.582493,11.410016,11.221417,11.01668,10.791995,10.549681,10.292167,10.020223,9.734982,9.437487,9.128872,8.803472,8.46299,8.11486,7.759765,7.3987727,6.989272,6.5736136,6.1482234,5.5964546,4.935287,4.3029623,3.055753,1.6023272,1.0246365
12.856227,12.841958,12.800049,12.731856,12.638747,12.52211,12.383357,12.2239895,12.046154,11.852392,11.645275,11.427288,11.200041,10.964688,10.722372,10.474052,10.220429,9.962138,9.699746,9.433726,9.161214,8.884305,8.604828,8.323116,8.039647,7.754762,7.4688134,7.176641,6.8790684,6.5814304,6.2836604,5.985989,5.6545086,5.322136,4.9859605,4.554949,4.041516,3.5532615,2.5946364,1.4766346,1.0313361
15.293651,15.283704,15.254085,15.2051325,15.137193,15.050624,14.945802,14.823169,14.683702,14.528706,14.359508,14.177374,13.982876,13.776226,13.557643,13.327233,13.084939,12.830658,12.56437,12.286146,11.991758,11.683602,11.363977,11.033309,10.692446,10.342137,9.983246,9.609186,9.22151,8.828061,8.429283,8.026047,7.571543,7.111889,6.6430516,6.0375485,5.3135242,4.621577,3.2576573,1.6658273,1.0280828
11.21096,11.081812,10.734717,10.230257,9.629094,8.991972,8.379666,7.849051,7.4162374,7.0728645,6.8101845,6.618626,6.4819818,6.3807244,6.2955523,6.213854,6.1317654,6.0460544,5.954489,5.8562593,5.749023,5.6334815,5.5107274,5.381136,5.245235,5.1034994,4.9564605,4.801601,4.63972,4.4742036,4.3053813,4.133764,3.9396608,3.7426322,3.5409913,3.2800145,2.9672742,2.6674185,2.0594676,1.3318821,1.0246365
